,Date,Zpid,time,Price,pricePerSquareFoot,priceChangeRate,event,Agency,buyerAgent,sellerAgent,showCountyLink,postingIsRental,attributeSource
0,14/08/2013,31497240,1.69629E+12,1395000,1329,0.256879048,Listed for sale,StreetEasy,,,FALSE,FALSE,"{'infoString1': '22711162', 'infoString2': 'StreetEasy', 'infoString3': None}"
1,10/05/2021,31497240,1.31103E+12,1109892,1057,0,Sold,Public Record,,,FALSE,FALSE,"{'infoString1': None, 'infoString2': 'Public Record', 'infoString3': None}"
0,15/10/2021,31497240,1.69629E+12,5100000,1545,0.040816327,Listed for sale,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
1,08/04/2022,31497240,1.68679E+12,,,0,Listing removed,StreetEasy,,,FALSE,FALSE,"{'infoString1': None, 'infoString2': 'StreetEasy', 'infoString3': None}"
2,09/05/2022,31497240,1.68316E+12,4900000,1485,0.088888889,Price change,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
3,01/07/2022,31497240,1.67581E+12,4500000,1364,-0.181818182,Price change,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
4,11/07/2022,31497240,1.66432E+12,5500000,1667,0,Listed for sale,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
0,28/07/2022,31497240,1.69629E+12,999999,1250,4.677747749,Listed for sale,StreetEasy,,,FALSE,FALSE,"{'infoString1': '', 'infoString2': 'StreetEasy', 'infoString3': None}"
1,11/10/2022,31497240,1.65672E+12,,,0,Listing removed,Zillow Rental Network_1,,,FALSE,TRUE,"{'infoString1': None, 'infoString2': 'Zillow Rental Network_1', 'infoString3': None}"
2,31/10/2022,31497240,1.65637E+12,5900,7,0.18,Listed for rent,Zillow Rental Network_1,,,FALSE,TRUE,"{'infoString1': '', 'infoString2': 'Zillow Rental Network_1', 'infoString3': None}"
