zpid,property_type,price,bathrooms,bedrooms,Total_bath_beds,size_sqft,url,address,broker_name
2096496951,2,5395000,4,3,7,2778,/homedetails/224-W-18th-St-New-York-NY-10011/2096496951_zpid/,"224 W 18th St, New York, NY 10011",Compass
80011181,2,5750000,4,3,7,2950,/homedetails/60-E-55th-St-PENTHOUSE-3-New-York-NY-10022/80011181_zpid/,"60 E 55th St PENTHOUSE 3, New York, NY 10022",Douglas Elliman
2055104170,2,6350000,4,3,7,3300,/homedetails/22-E-18th-St-UNIT-PH6A-New-York-NY-10003/2055104170_zpid/,"22 E 18th St UNIT PH6A, New York, NY 10003",Sotheby's International Realty
72516435,2,6375000,3,4,7,0,/homedetails/26-E-22nd-St-23-New-York-NY-10010/72516435_zpid/,"26 E 22nd St #23, New York, NY 10010",Corcoran
300197253,2,6495000,4,3,7,2324,/homedetails/360-Central-Park-W-APT-8B-New-York-NY-10025/300197253_zpid/,"360 Central Park W APT 8B, New York, NY 10025",Argo Residential
2061289292,2,6875000,3,4,7,0,/homedetails/88-Central-Park-W-3-4N-New-York-NY-10023/2061289292_zpid/,"88 Central Park W #3/4N, New York, NY 10023",Douglas Elliman
122272686,2,7500000,4,3,7,2525,/homedetails/20-W-53rd-St-36A-New-York-NY-10019/122272686_zpid/,"20 W 53rd St #36A, New York, NY 10019",Mercer Partners International LLC
2055082881,2,9250000,4,3,7,0,/homedetails/84-Mercer-St-APT-3-New-York-NY-10012/2055082881_zpid/,"84 Mercer St APT 3, New York, NY 10012",Douglas Elliman
31493791,2,10995000,4,3,7,3777,/homedetails/174-Duane-St-New-York-NY-10013/31493791_zpid/,"174 Duane St, New York, NY 10013",Douglas Elliman
143157307,2,14500000,4,3,7,3100,/homedetails/14-E-90th-St-New-York-NY-10128/143157307_zpid/,"14 E 90th St, New York, NY 10128",Compass
